"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Mean Sale Price","2010 January","All Dwelling Statuses","K56: Rush","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","208154"
"Mean Sale Price","2010 January","All Dwelling Statuses","K67: Swords","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","248214"
"Mean Sale Price","2010 January","All Dwelling Statuses","K78: Lucan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","228663"
"Mean Sale Price","2010 January","All Dwelling Statuses","N37: Athlone","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","317568"
"Mean Sale Price","2010 January","All Dwelling Statuses","N39: Longford","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","172380"
"Mean Sale Price","2010 January","All Dwelling Statuses","N41: Carrick-on-Shannon","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","160000"
"Mean Sale Price","2010 January","All Dwelling Statuses","N91: Mullingar","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","174166"
"Mean Sale Price","2010 January","All Dwelling Statuses","P12: Macroom","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","227500"
"Mean Sale Price","2010 January","All Dwelling Statuses","P14: Crookstown","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","P17: Kinsale","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","300000"
"Mean Sale Price","2010 January","All Dwelling Statuses","P24: Cobh","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","210750"
"Mean Sale Price","2010 January","All Dwelling Statuses","P25: Midleton","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","291250"
"Mean Sale Price","2010 January","All Dwelling Statuses","P31: Ballincollig","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","299917"
"Mean Sale Price","2010 January","All Dwelling Statuses","P32: Rylane","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","P36: Youghal","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","135000"
"Mean Sale Price","2010 January","All Dwelling Statuses","P43: Carrigaline","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","253499"
"Mean Sale Price","2010 January","All Dwelling Statuses","P47: Dunmanway","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","P51: Mallow","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","185769"
"Mean Sale Price","2010 January","All Dwelling Statuses","P56: Charleville","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","85000"
"Mean Sale Price","2010 January","All Dwelling Statuses","P61: Fermoy","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","178195"
